Category: All categories

Month,Data science: (Worldwide),Data mining: (Worldwide),Machine learning: (Worldwide)
2004-01,1,80,14
2004-02,1,89,18
2004-03,<1,96,17
2004-04,1,100,15
2004-05,1,97,15
2004-06,1,87,12
2004-07,<1,78,13
2004-08,1,75,11
2004-09,1,81,15
2004-10,1,83,15
2004-11,1,77,12
2004-12,1,75,12
2005-01,1,67,12
2005-02,1,71,13
2005-03,1,71,13
2005-04,1,69,11
2005-05,1,67,13
2005-06,1,61,12
2005-07,<1,53,10
2005-08,1,52,9
2005-09,<1,59,10
2005-10,<1,60,10
2005-11,1,61,12
2005-12,<1,53,10
2006-01,1,51,9
2006-02,1,53,11
2006-03,1,56,10
2006-04,1,52,9
2006-05,<1,50,9
2006-06,<1,48,8
2006-07,<1,42,7
2006-08,<1,39,9
2006-09,1,45,10
2006-10,<1,46,10
2006-11,<1,43,9
2006-12,<1,39,9
2007-01,<1,40,8
2007-02,1,39,8
2007-03,<1,42,9
2007-04,<1,42,10
2007-05,<1,41,9
2007-06,<1,41,8
2007-07,<1,37,8
2007-08,<1,37,7
2007-09,<1,41,8
2007-10,<1,41,10
2007-11,<1,42,9
2007-12,<1,36,8
2008-01,<1,36,7
2008-02,<1,36,8
2008-03,<1,38,8
2008-04,<1,38,9
2008-05,<1,38,9
2008-06,<1,33,6
2008-07,<1,30,7
2008-08,<1,28,6
2008-09,<1,36,7
2008-10,<1,34,7
2008-11,<1,37,8
2008-12,<1,31,7
2009-01,<1,31,7
2009-02,<1,32,7
2009-03,<1,34,8
2009-04,<1,34,8
2009-05,<1,32,7
2009-06,<1,31,7
2009-07,<1,29,10
2009-08,<1,29,8
2009-09,<1,31,8
2009-10,<1,34,8
2009-11,<1,34,8
2009-12,<1,30,7
2010-01,<1,29,7
2010-02,<1,29,7
2010-03,<1,34,8
2010-04,<1,32,7
2010-05,<1,32,8
2010-06,<1,29,7
2010-07,<1,26,6
2010-08,<1,26,7
2010-09,<1,30,7
2010-10,<1,30,8
2010-11,<1,30,8
2010-12,<1,28,8
2011-01,<1,27,7
2011-02,<1,27,7
2011-03,<1,27,8
2011-04,1,27,8
2011-05,<1,29,7
2011-06,<1,25,7
2011-07,<1,23,7
2011-08,<1,23,7
2011-09,1,27,8
2011-10,1,26,11
2011-11,1,29,10
2011-12,1,25,9
2012-01,1,24,9
2012-02,1,27,10
2012-03,1,27,10
2012-04,1,26,10
2012-05,1,25,10
2012-06,1,23,9
2012-07,1,23,9
2012-08,2,23,10
2012-09,2,24,11
2012-10,2,26,10
2012-11,2,26,10
2012-12,2,22,9
2013-01,2,22,10
2013-02,2,25,10
2013-03,3,24,10
2013-04,4,26,11
2013-05,4,24,11
2013-06,4,24,11
2013-07,4,23,10
2013-08,4,22,10
2013-09,4,25,11
2013-10,4,26,13
2013-11,5,26,13
2013-12,5,24,12
2014-01,6,23,12
2014-02,6,25,14
2014-03,7,27,14
2014-04,7,26,15
2014-05,7,24,14
2014-06,8,22,14
2014-07,8,21,14
2014-08,10,21,14
2014-09,10,25,17
2014-10,10,25,17
2014-11,10,26,17
2014-12,10,24,16
2015-01,12,24,18
2015-02,12,26,18
2015-03,13,26,19
2015-04,13,27,22
2015-05,13,24,20
2015-06,14,23,21
2015-07,15,22,21
2015-08,16,21,21
2015-09,16,25,24
2015-10,18,25,25
2015-11,16,27,27
2015-12,16,24,25
2016-01,19,22,25
2016-02,19,24,27
2016-03,20,24,31
2016-04,20,24,30
2016-05,23,23,32
2016-06,22,21,34
2016-07,21,19,30
2016-08,22,19,32
2016-09,24,22,36
2016-10,25,25,40
2016-11,26,26,43
2016-12,25,22,41
2017-01,30,22,46
2017-02,32,24,50
2017-03,34,25,55
2017-04,33,25,55
2017-05,35,23,58
2017-06,34,22,59
2017-07,35,20,56
2017-08,37,21,58
2017-09,39,23,63
2017-10,42,25,68
2017-11,41,28,71
2017-12,38,29,68
2018-01,45,29,68
2018-02,45,29,69
2018-03,47,26,76
2018-04,47,27,75
2018-05,49,24,77
2018-06,48,20,74
2018-07,50,19,71
2018-08,51,18,73
2018-09,53,20,77
2018-10,55,21,81
2018-11,50,19,73
